Priority;Article;URL;Source file;Recommended infographic type;Main reason;Volatile data present;Manual verification needed
PRIORITY A;12 Day Greece Itinerary;https://milesandflavors.com/12-day-greece-itinerary/;D:\Travel blog\Greece\12-day-greece-itinerary.txt;Day-by-day itinerary;The article contains a concrete sequence, comparison, booking decision, transport choice, or time-sensitive planning framework.;Yes;Yes
PRIORITY A;14-Day Southern Italy Road Trip Itinerary;https://milesandflavors.com/14-day-southern-italy-road-trip-itinerary/;D:\Travel blog\Amalfi Coast\14_Italy_roadtrip.txt;Day-by-day itinerary;The article contains a concrete sequence, comparison, booking decision, transport choice, or time-sensitive planning framework.;Yes;Yes
PRIORITY A;2 Days in Athens;https://milesandflavors.com/2-days-in-athens/;D:\Travel blog\Greece\2-days-in-athens-HTML.txt;Day-by-day itinerary;The article contains a concrete sequence, comparison, booking decision, transport choice, or time-sensitive planning framework.;Yes;Yes
PRIORITY A;2 Days in Barcelona at Christmas;https://milesandflavors.com/barcelona-christmas-itinerary/;D:\Travel blog\Barcelona\barcelona-christmas-itinerary-HTML.txt;Day-by-day itinerary;The article contains a concrete sequence, comparison, booking decision, transport choice, or time-sensitive planning framework.;Yes;Yes
PRIORITY A;24 Hours in Milan;https://milesandflavors.com/24-hours-in-milan/;D:\Travel blog\Dolomites\24-hours-in-milan-HTML.txt;Day-by-day itinerary;The article contains a concrete sequence, comparison, booking decision, transport choice, or time-sensitive planning framework.;Yes;Yes
PRIORITY A;3 Days in Amsterdam;https://milesandflavors.com/3-days-in-amsterdam/;D:\Travel blog\Amsterdam\3-days-in-amsterdam-HTML.txt;Day-by-day itinerary;The article contains a concrete sequence, comparison, booking decision, transport choice, or time-sensitive planning framework.;Yes;Yes
PRIORITY A;3 Days in Amsterdam with Kids;https://milesandflavors.com/amsterdam-family-itinerary-3-days/;D:\Travel blog\Amsterdam\amsterdam-family-itinerary-3-days-HTML.txt;Day-by-day itinerary;The article contains a concrete sequence, comparison, booking decision, transport choice, or time-sensitive planning framework.;Yes;Yes
PRIORITY A;3 Days in Chicago Itinerary;https://milesandflavors.com/3-days-in-chicago-itinerary/;D:\Travel blog\Chicago\3-Day-Chicago-itinerary.txt;Day-by-day itinerary;The article contains a concrete sequence, comparison, booking decision, transport choice, or time-sensitive planning framework.;Yes;Yes
PRIORITY A;3 Days in Chicago with Kids;https://milesandflavors.com/chicago-family-itinerary-3-days/;D:\Travel blog\Chicago\chicago-family-itinerary-3-days-HTML.txt;Day-by-day itinerary;The article contains a concrete sequence, comparison, booking decision, transport choice, or time-sensitive planning framework.;No;Yes
PRIORITY A;3 Days in Rome;https://milesandflavors.com/3-days-in-rome-itinerary/;D:\Travel blog\Rome\rome-itinerary-3-days-HTML.txt;Day-by-day itinerary;The article contains a concrete sequence, comparison, booking decision, transport choice, or time-sensitive planning framework.;Yes;Yes
PRIORITY A;4 Days in Barcelona;https://milesandflavors.com/4-days-in-barcelona-the-perfect-itinerary/;D:\Travel blog\Barcelona\Barcelona_Itinerary.txt;Day-by-day itinerary;The article contains a concrete sequence, comparison, booking decision, transport choice, or time-sensitive planning framework.;Yes;Yes
PRIORITY A;4 Days in Barcelona with Kids;https://milesandflavors.com/barcelona-family-itinerary-4-days/;D:\Travel blog\Barcelona\barcelona-family-itinerary-4-days-HTML.txt;Day-by-day itinerary;The article contains a concrete sequence, comparison, booking decision, transport choice, or time-sensitive planning framework.;No;Yes
PRIORITY A;5 Days in NYC with Kids;https://milesandflavors.com/nyc-family-itinerary-5-days/;D:\Travel blog\New York\nyc-family-itinerary-5-days-HTML.txt;Day-by-day itinerary;The article contains a concrete sequence, comparison, booking decision, transport choice, or time-sensitive planning framework.;No;Yes
PRIORITY A;5 Days on the Amalfi Coast;https://milesandflavors.com/5-days-on-the-amalfi-coast-itinerary/;D:\Travel blog\Amalfi Coast\5day-itinerary.txt;Day-by-day itinerary;The article contains a concrete sequence, comparison, booking decision, transport choice, or time-sensitive planning framework.;Yes;Yes
PRIORITY A;5-day New York City Itinerary for first-time visitors;https://milesandflavors.com/5-day-new-york-city-itinerary/;D:\Travel blog\New York\nyc-itinerary-5-days.txt;Day-by-day itinerary;The article contains a concrete sequence, comparison, booking decision, transport choice, or time-sensitive planning framework.;Yes;Yes
PRIORITY A;Amalfi Coast Travel Costs;https://milesandflavors.com/amalfi-coast-travel-costs/;D:\Travel blog\Amalfi Coast\travel-costs.txt;Budget and spending framework;The article contains a concrete sequence, comparison, booking decision, transport choice, or time-sensitive planning framework.;Yes;Yes
PRIORITY A;Amsterdam at Christmas;https://milesandflavors.com/amsterdam-at-christmas/;D:\Travel blog\Amsterdam\amsterdam-at-christmas-HTML.txt;Seasonal route and booking timeline;The article contains a concrete sequence, comparison, booking decision, transport choice, or time-sensitive planning framework.;Yes;Yes
PRIORITY A;Amsterdam in December;https://milesandflavors.com/amsterdam-in-december/;D:\Travel blog\Amsterdam\amsterdam-in-december-HTML.txt;Seasonal planning timeline;The article contains a concrete sequence, comparison, booking decision, transport choice, or time-sensitive planning framework.;Yes;Yes
PRIORITY A;Amsterdam in October;https://milesandflavors.com/amsterdam-in-october/;D:\Travel blog\Amsterdam\amsterdam-in-october-HTML.txt;Seasonal planning timeline;The article contains a concrete sequence, comparison, booking decision, transport choice, or time-sensitive planning framework.;No;Yes
PRIORITY A;Amsterdam in September;https://milesandflavors.com/amsterdam-in-september/;D:\Travel blog\Amsterdam\amsterdam-in-september-HTML.txt;Seasonal planning timeline;The article contains a concrete sequence, comparison, booking decision, transport choice, or time-sensitive planning framework.;Yes;Yes
PRIORITY A;Amsterdam in Winter;https://milesandflavors.com/amsterdam-in-winter/;D:\Travel blog\Amsterdam\amsterdam-in-winter-HTML.txt;Seasonal planning timeline;The article contains a concrete sequence, comparison, booking decision, transport choice, or time-sensitive planning framework.;No;Yes
PRIORITY A;Amsterdam Travel Costs;https://milesandflavors.com/amsterdam-travel-costs/;D:\Travel blog\Amsterdam\amsterdam-travel-costs-HTML.txt;Budget and spending framework;The article contains a concrete sequence, comparison, booking decision, transport choice, or time-sensitive planning framework.;Yes;Yes
PRIORITY A;Anne Frank House Tickets;https://milesandflavors.com/anne-frank-house-tickets-guide/;D:\Travel blog\Amsterdam\anne-frank-house-tickets-guide-HTML.txt;Booking decision guide;The article contains a concrete sequence, comparison, booking decision, transport choice, or time-sensitive planning framework.;Yes;Yes
PRIORITY A;Barcelona Airport to City Center;https://milesandflavors.com/barcelona-airport-to-city-center/;D:\Travel blog\Barcelona\barcelona-airport-to-city-center-HTML.txt;Transport decision flow;The article contains a concrete sequence, comparison, booking decision, transport choice, or time-sensitive planning framework.;Yes;Yes
PRIORITY A;Barcelona at Christmas;https://milesandflavors.com/barcelona-at-christmas/;D:\Travel blog\Barcelona\barcelona-at-christmas-HTML.txt;Seasonal route and booking timeline;The article contains a concrete sequence, comparison, booking decision, transport choice, or time-sensitive planning framework.;Yes;Yes
